22|low-pitched,feminine,slightly sexy,calm,weak,kind,elegant,adult-like,soft,slightly muffled,sweet
28|feminine,reassuring,calm,weak,modest,adult-like,strong,slightly elegant,fluent,soft,clear,slightly weak,kind
32|feminine,reassuring,refreshing,light,adult-like,strong,cool,intellectual,fluent,clear
38|elegant,adult-like,strong,mature,cool,deep,fluent,masculine,clear
49|low-pitched,calm,slightly deep,adult-like,slightly halting,slightly wild,masculine,slightly muffled
57|feminine,raspy,slightly high-pitched,adult-like,slightly cute,slightly cool,slightly intense,fluent,slightly powerful,slightly strict
64|slightly bright,slightly feminine,strong,slightly clear,slightly young,slightly cool,friendly,lively
66|calm,sincere,dark,adult-like,strong,high-pitched,elegant,intellectual,fluent,masculine,clear
92|feminine,slightly sexy,calm,slightly sweet,slightly clear,slightly relaxed,intellectual,fluent,soft
103|slightly sexy,weak,slightly elegant,slightly cute,slightly young,very feminine,friendly,clear
116|low-pitched,calm,slightly middle-aged,slightly dark,adult-like,mature,cool,slightly intellectual,deep,masculine
118|calm,slightly low-pitched,slightly middle-aged,slightly deep,elegant,slightly relaxed,mature,masculine
121|low-pitched,feminine,slightly sexy,calm,adult-like,strong,intellectual,cool,slightly soft,young,slightly weak,sweet
122|slightly low-pitched,slightly modest,masculine,young,slightly weak
123|feminine,slightly sexy,calm,slightly low-pitched,adult-like,unique,slightly reassuring,halting,muffled
127|slightly muffled,slightly weak,slightly low-pitched,slightly old,mature,unique,masculine,slightly raspy
157|low-pitched,calm,friendly,adult-like,strong,cool,deep,masculine,slightly powerful
188|low-pitched,feminine,slightly light,strong,cool,fluent,slightly powerful
196|reassuring,slightly sexy,calm,slightly loud,sincere,refreshing,slightly dark,elegant,adult-like,strong,slightly clear,slightly cool,intellectual,fluent,masculine,clear,slightly weak,slightly strict
201|slightly fluent,slightly low-pitched,slightly bright,friendly,adult-like,masculine,lively
205|feminine,calm,refreshing,slightly light,gender-neutral,adult-like,slightly relaxed,fluent,clear
207|low-pitched,powerful,adult-like,cool,intellectual,fluent,masculine,clear,slightly mature,lively
210|low-pitched,slightly mature,slightly old,slightly dark,unique,masculine,slightly raspy,slightly strict
211|feminine,weak,slightly modest,slightly cute,slightly young,slightly relaxed,slightly high-pitched,slightly soft
215|feminine,slightly refreshing,slightly bright,friendly,slightly lively,slightly adult-like,slightly high-pitched,slightly soft
218|slightly low-pitched,slightly loud,slightly friendly,slightly unique,adult-like,slightly intellectual,masculine
226|feminine,calm,refreshing,slightly friendly,weak,slightly dark,modest,slightly cute,slightly relaxed,slightly intellectual,slightly high-pitched,soft,young,clear,slightly weak,kind
231|bright,refreshing,slightly lively,adult-like,strong,cool,masculine
237|feminine,refreshing,adult-like,slightly strong,slightly cool,slightly intellectual,soft,young,slightly muffled,lively
246|slightly fluent,feminine,calm,middle-aged,slightly intellectual,slightly high-pitched,slightly raspy
252|slightly low-pitched,slightly friendly,slightly unique,adult-like,masculine
260|low-pitched,wild,slightly calm,adult-like,strong,mature,cool,slightly intellectual,deep,masculine,slightly raspy
283|low-pitched,soft,calm,slightly sweet,very wild,slightly middle-aged,very mature,strong,adult-like,cool,deep,masculine,slightly muffled
296|masculine,calm,slightly bright,weak,slightly high-pitched,modest,adult-like,slightly clear,slightly relaxed,intellectual,fluent,soft,slightly weak,kind
318|slightly fluent,feminine,adult-like,slightly clear,sharp,slightly high-pitched
337|feminine,calm,weak,cute,soft,young
